Fullname,Nationality,Gender,Passport_Number,Age,BMI,Systolic_BP,Diastolic_BP,Total_Cholesterol,HDL_Cholesterol,Num_Critical_Diseases,ICD_E08_E13_Diabetes,ICD_I10_I15_Hypertension,ICD_I20_I50_HeartDisease,ICD_J40_J47_Respiratory,ICD_N18_KidneyDisease,Smoker,Needs_Walking_Assist,Uses_Oxygen,Takes_Diuretics,Takes_Beta_Blockers,CVD_Risk_Score,Triage_Category
Rachel Smith,Solomon Islands,F,3472756356125,85,15.7,146,94,236,62,3,1,1,0,1,0,0,0,0,0,0,35.0,Red
Michelle Anderson,Ukraine,F,0771816457394,63,24.8,155,84,270,58,2,1,1,0,0,0,0,0,0,0,0,30.0,Red
Megan Willis,Niger,M,6873534353317,38,32.2,123,81,211,44,0,0,0,0,0,0,1,0,0,0,0,10.0,Green
Andrea Carey,Angola,F,1542377208652,19,24.1,110,84,186,34,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Bonnie Adams,Taiwan,M,3725774222874,65,35.8,158,87,263,60,2,1,1,0,0,0,0,0,0,0,0,32.5,Red
Hannah Watts,Cambodia,F,7671454720016,46,20.8,113,72,274,72,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Jesse Krause,Chile,F,7287200789048,77,17.9,121,88,199,72,1,1,0,0,0,0,0,0,0,0,0,22.5,Red
Scott Wilkins,Chile,F,6724078177757,38,26.9,108,66,137,36,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Erica Moss,United Kingdom,F,7762185172998,50,23.1,130,84,236,36,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Stacey Alexander,Togo,F,6760402054332,47,17.4,130,72,246,44,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
Breanna Hansen,Malawi,M,6600008185200,58,30.9,131,80,213,58,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Linda Jones,Grenada,F,2247657593631,87,21.2,136,90,201,58,1,1,0,0,0,0,0,0,0,0,0,35.0,Red
Christine Nelson,Central African Republic,F,6334622081333,60,27.5,124,81,217,39,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Diane Stewart,Kuwait,F,4614499488582,93,23.4,151,91,150,51,2,1,1,0,0,0,0,0,0,1,0,37.5,Red
Trevor Martin,Somalia,F,0235957926732,35,33.7,152,89,157,70,2,0,1,1,0,0,0,0,0,1,1,2.5,Orange
Jamie Frey,Anguilla,F,0642360460263,66,21.5,141,94,238,54,1,0,1,0,0,0,0,0,0,0,0,20.0,Orange
Andrew Owens,Sweden,M,6687942734640,63,29.5,142,92,238,56,2,0,1,1,0,0,0,0,0,0,0,17.5,Orange
Angela Bonilla,Germany,F,8101917311394,63,22.7,121,82,183,40,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Elizabeth Huang,Norfolk Island,M,0551636412045,63,35.6,143,87,162,44,2,1,1,0,0,0,0,0,0,1,0,22.5,Red
Destiny Brooks,Australia,F,1922072093232,76,40.0,122,94,205,63,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Adam Castaneda,Honduras,F,6346276645168,51,23.1,156,95,253,63,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Anthony Andrade,Belgium,M,8106309777741,40,44.4,153,88,147,56,1,0,1,0,0,0,0,0,0,0,0,5.0,Orange
Hunter Mora,Belarus,F,9466103543546,88,19.1,134,89,238,74,1,0,1,0,0,0,1,0,0,1,0,32.5,Red
Charlotte Lewis,Iceland,F,8161476454550,71,21.0,121,90,161,47,1,0,0,0,0,1,0,0,0,0,0,15.0,Orange
Paul Johnson,Antigua and Barbuda,F,5464185284719,60,25.4,153,92,180,52,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Laura Chapman,India,M,4426496976197,60,23.8,120,95,226,40,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Kevin Simon,Mauritania,F,0935357095228,61,15.8,125,92,255,37,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
David Abbott,Marshall Islands,F,9632502044360,79,33.3,147,90,179,54,2,1,1,0,0,0,0,0,0,1,0,30.0,Red
Megan Smith,Burkina Faso,M,9125773931151,25,19.9,129,66,179,38,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
Jennifer Ortiz,Philippines,F,5541914167755,27,51.5,150,81,189,42,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Christina Harmon,Angola,M,8923135082531,52,33.7,135,91,226,73,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Ryan Edwards,Mauritania,M,5676742988804,60,21.4,156,93,177,56,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Laura Jones,Luxembourg,M,6512936606217,34,42.1,126,85,142,53,1,0,1,0,0,0,0,0,0,1,0,1.0,Orange
David Wheeler,Ireland,M,1315403478905,55,17.9,153,88,243,55,2,0,1,0,0,1,0,0,0,1,0,20.0,Orange
Ray Munoz,Gambia,M,5937810228766,66,33.7,122,91,245,48,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Pamela Brady,France,M,6271966407446,53,33.0,152,80,151,30,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Daniel Carlson,Jersey,M,1679252497020,64,32.0,155,86,270,71,3,1,1,0,1,0,0,0,0,0,0,27.5,Red
Jason Martinez,Bahrain,F,5368591815218,42,22.5,112,68,201,54,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Sara Jensen,Cambodia,M,2696453120167,48,23.2,103,84,271,69,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Ryan Baker,Bolivia,F,7496146187423,95,37.5,142,95,241,60,1,0,1,0,0,0,0,0,0,1,0,40.0,Red
Brian Turner,Kazakhstan,F,7867954426828,54,24.5,144,91,232,48,1,0,1,0,0,0,1,0,0,1,0,20.0,Orange
David Payne,Romania,F,9414079115625,40,33.6,148,93,163,74,2,0,1,0,0,1,0,0,0,0,0,2.5,Orange
Christopher Salas,Wallis and Futuna,M,5351299128322,37,36.8,138,81,166,64,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Jeffrey Huffman,Jamaica,F,5876499666882,65,36.9,123,92,249,68,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Christine Stevens,Svalbard & Jan Mayen Islands,F,2697396765422,20,38.8,125,94,190,70,1,0,1,0,0,0,0,0,0,0,0,1.0,Green
Brittany Mendez,United Arab Emirates,M,8059279045900,51,28.9,125,95,276,48,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Michele Edwards,Marshall Islands,M,6340449174660,27,32.0,147,82,200,64,1,0,1,0,0,0,0,0,0,1,0,2.5,Orange
Louis Ramirez,Jersey,M,4319116161960,69,30.3,124,80,232,36,0,0,0,0,0,0,1,0,0,0,0,27.5,Red
Kevin Atkinson,Germany,M,8409799315074,36,41.8,122,85,207,49,1,0,0,1,0,0,1,0,0,0,1,10.0,Orange
Nicole Doyle,Saint Vincent and the Grenadines,F,5153689455342,33,27.8,125,82,170,45,1,0,0,0,0,1,0,0,0,0,0,1.0,Green
Samuel Graham,Mauritania,M,4277851972312,55,24.4,139,94,244,31,0,0,0,0,0,0,0,0,0,0,0,22.5,Orange
Ashley Stevens,Panama,M,3085942821811,48,33.5,147,91,178,46,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Albert George,Brazil,F,1982938012418,51,29.9,151,85,151,34,3,1,1,1,0,0,0,0,0,1,1,22.5,Orange
Jerry Watkins,Svalbard & Jan Mayen Islands,M,7798520534473,57,24.1,157,84,203,62,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
George Hill,India,F,2726937877611,36,29.4,124,73,180,61,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Arthur Walker,Korea,M,8119392406818,65,33.7,131,91,261,55,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
Brittany Johnson,Switzerland,M,4935578548370,49,21.1,118,84,174,67,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Taylor White,United States of America,M,0748885114589,32,19.7,116,83,166,64,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Joshua Turner,Grenada,M,2690612923323,35,21.0,112,73,151,67,1,0,1,0,0,0,1,0,0,0,0,5.0,Green
George Wright,Niger,F,8335579730907,63,49.3,123,80,223,73,0,0,0,0,0,0,0,0,0,0,0,10.0,Orange
Joseph Ramirez,Kuwait,M,4082961292560,50,21.2,102,65,237,44,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Evan Bowers,Hong Kong,M,8265052727134,81,23.7,136,94,198,71,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Amanda Duffy,Niger,M,4306225422310,49,26.3,109,78,238,67,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Christopher Austin,Micronesia,F,2017599609963,61,32.4,120,83,165,36,1,0,0,1,0,0,0,0,0,0,1,15.0,Orange
Christopher Jones,Indonesia,M,1908786148901,79,16.3,158,90,183,75,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
David Dixon,Senegal,F,6231573350825,63,32.8,134,82,240,66,2,0,0,1,1,0,1,0,0,0,1,20.0,Orange
Angela Wells,Costa Rica,M,9116077294950,22,32.5,123,85,159,58,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Jonathan Higgins,Kuwait,F,4310538143770,40,42.5,135,89,176,49,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Marie Hayes,Palau,M,1159393140240,86,19.3,124,89,207,50,1,0,0,0,0,1,0,0,0,0,0,25.0,Red
Jesse Brewer,Togo,M,6889381100653,56,24.8,139,82,210,42,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Taylor Huff,South Africa,F,5465599134638,51,34.1,132,88,227,75,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Courtney Rodriguez,Syrian Arab Republic,F,5710499122132,54,28.9,140,91,157,34,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Jennifer Green,Austria,F,0815852389919,29,32.3,120,83,213,41,0,0,0,0,0,0,1,0,0,0,0,10.0,Green
Michelle Melendez MD,Norfolk Island,M,8311114639485,45,14.6,106,76,234,59,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Christina Collins,Saint Vincent and the Grenadines,F,3258471048169,42,42.3,126,82,192,49,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Steven Hines,Cocos (Keeling) Islands,F,7190698373203,25,15.9,129,68,189,37,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Christopher Harris,India,M,1448223098319,86,44.9,157,85,234,75,1,0,1,0,0,0,0,0,0,1,0,27.5,Red
Darlene Nelson,Antarctica (the territory South of 60 deg S),F,3290672836343,31,36.1,132,92,194,32,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kyle Cervantes,Nigeria,M,5741274380423,54,30.8,133,92,176,45,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Derek Cobb,Tanzania,M,5087075211772,62,30.7,135,92,184,47,3,1,0,0,1,1,0,0,0,0,0,20.0,Orange
Richard Brown,Armenia,M,8226531406247,64,26.9,149,92,217,73,1,0,1,0,0,0,1,0,0,0,0,22.5,Red
Elizabeth Meyer,Mauritania,M,5458883784374,51,32.4,140,91,261,44,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Robert Hernandez,Mali,M,0243576352870,45,17.0,121,67,179,59,0,0,0,0,0,0,1,0,0,0,0,10.0,Green
Lisa Smith,Mozambique,M,4668006823175,58,36.7,141,84,221,51,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Tina Ramirez,Gambia,M,8318289249945,37,24.6,116,80,214,56,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Karen Mann,Saint Martin,F,6625797447414,49,37.6,160,95,156,30,1,0,1,0,0,0,0,0,0,0,0,12.5,Orange
Guy Torres,Kyrgyz Republic,F,7960506812008,48,21.6,121,85,269,63,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kimberly Washington,France,M,4876146533599,68,38.1,158,92,194,55,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Timothy Fitzpatrick,Trinidad and Tobago,F,3374647272494,55,43.0,142,88,215,64,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Peter Solis,Georgia,M,6605038888015,53,14.7,130,90,255,45,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Michael Delgado,Korea,M,0584929853911,52,38.1,132,83,238,48,1,0,0,0,0,1,0,0,0,0,0,10.0,Orange
Stephen Gonzalez,Christmas Island,F,8160015476350,77,44.1,152,85,227,32,1,0,1,0,0,0,0,0,0,1,0,30.0,Red
Andrea Woods,Ethiopia,F,4586932022311,65,31.1,160,81,256,61,3,1,1,1,0,0,0,0,0,0,0,30.0,Red
Sean Henry,Cape Verde,F,3332406531800,59,20.0,152,80,192,65,2,0,1,0,1,0,0,0,0,0,0,10.0,Orange
Amber Mcdonald,Falkland Islands (Malvinas),F,4656566974970,19,38.3,152,87,202,42,2,1,1,0,0,0,0,0,0,0,0,15.0,Orange
Eileen Sparks,Malawi,M,7928820938828,40,32.8,149,87,217,54,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Cheyenne Carey,Jamaica,M,6355337337287,62,39.5,160,85,190,61,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Jacob Ingram,Cayman Islands,M,3530117033914,38,24.7,125,67,152,40,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Jessica Mcdaniel,Cayman Islands,M,6691412855636,41,28.0,195,82,208,70,1,0,1,0,0,0,0,0,0,1,0,10.0,Red
Ashley Barnes,Mozambique,F,4980468599321,52,21.5,120,88,242,65,2,0,1,0,0,1,0,0,0,1,0,10.0,Orange
Jennifer Booth,Gambia,M,6014174866908,52,34.3,128,90,250,58,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Mark Bauer,Tunisia,F,9396300468819,48,35.4,158,94,184,44,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Dylan Thomas,Micronesia,M,0052797909271,28,43.1,123,87,220,31,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
John Mills,Tunisia,F,0030916086775,65,33.9,145,93,246,56,1,0,1,0,0,0,0,0,0,1,0,25.0,Red
Brenda Skinner,Barbados,M,2431796343084,57,17.4,159,93,200,53,1,0,1,0,0,0,0,0,0,0,0,12.5,Orange
Mark Riggs,Northern Mariana Islands,M,0030594416949,80,24.2,134,90,178,35,1,1,0,0,0,0,0,0,0,0,0,35.0,Red
Monica Burns,American Samoa,M,4973600972687,55,32.8,142,92,170,65,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Nathan Dixon,Trinidad and Tobago,M,6783428888118,63,24.4,151,86,207,33,1,0,1,0,0,0,1,0,0,0,0,30.0,Red
Andrew Warner,Ireland,M,9794835013243,60,36.0,154,83,195,67,2,0,1,1,0,0,0,0,0,1,0,12.5,Orange
Michelle Anderson DDS,Niue,F,6296961521669,62,19.9,120,86,170,71,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Terri Lamb,Eritrea,M,3187700641379,51,33.2,144,81,185,67,2,1,1,0,0,0,0,0,0,0,0,15.0,Orange
Daniel Cisneros,Comoros,M,3579968744280,79,30.8,125,87,169,32,1,1,0,0,0,0,0,0,0,0,0,30.0,Red
Derek Horton,Congo,M,3632599718904,85,19.9,136,95,151,60,1,0,0,1,0,0,1,0,0,0,1,32.5,Red
Adrienne Walker,Palau,F,8491584067398,37,25.8,124,66,136,45,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Jason French,Bhutan,F,9602011901195,54,22.4,145,81,179,41,1,0,1,0,0,0,0,0,0,0,0,10.0,Green
Stacey Love,Indonesia,F,6318184062207,82,21.5,127,91,267,68,1,1,0,0,0,0,0,0,0,0,0,32.5,Red
Sandra Camacho,Antigua and Barbuda,F,0657456486980,65,22.7,132,95,274,74,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Robert Baker,Serbia,F,0296386230876,68,31.5,142,93,164,68,1,0,1,0,0,0,1,1,0,0,0,22.5,Red
Wendy Olson,Faroe Islands,M,1138486719006,48,34.7,157,92,230,62,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Elizabeth Price,Paraguay,M,0698362733379,68,47.4,152,87,217,61,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
John Hanson,Brazil,M,4463196104512,72,21.1,156,92,197,38,1,0,1,0,0,0,0,0,0,1,0,25.0,Red
Allen Hill,Croatia,F,7320956724366,86,31.1,155,86,165,34,2,1,1,0,0,0,0,0,0,1,0,40.0,Red
Jeremy Medina,South Georgia and the South Sandwich Islands,F,0389037048941,45,43.0,141,81,266,42,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Shawn Torres,Antarctica (the territory South of 60 deg S),F,7214494188134,90,20.5,132,84,252,54,1,1,0,0,0,0,0,0,0,0,0,42.5,Red
Belinda Shah,Burundi,F,0303477121972,40,34.0,144,87,187,53,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Jennifer Jones,Croatia,M,8598209888427,45,19.8,120,83,192,41,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Brett Simmons,Kuwait,M,2998595438675,39,30.9,149,87,146,63,1,0,1,0,0,0,0,0,0,0,0,2.5,Green
Linda Carter,Burkina Faso,M,4958433779160,69,26.3,120,85,214,31,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Sarah Williamson,Belize,F,5829508735413,70,35.7,140,88,175,48,2,1,1,0,0,0,1,0,0,0,0,32.5,Red
Daniel Humphrey,Iraq,M,0704701203578,63,21.9,194,95,162,57,1,0,1,0,0,0,1,0,0,0,0,27.5,Red
Julian Ibarra,Cote d'Ivoire,F,5779138014573,51,36.2,143,80,211,71,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Justin Vazquez,Bangladesh,F,8296877889349,64,36.3,159,86,159,62,2,0,1,1,0,0,0,0,0,1,1,12.5,Orange
Joshua Hernandez,Ghana,M,1842245066637,27,36.4,190,90,206,31,1,0,1,0,0,0,1,0,0,1,0,25.0,Red
Brandon Fowler,Tonga,M,3672878658552,56,21.8,148,85,205,51,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Dylan Harding,Montserrat,M,3737046297190,41,25.6,113,85,199,73,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Tina Gay,Iraq,M,5384779859157,56,34.1,150,93,214,51,2,0,1,0,0,1,0,0,0,1,0,15.0,Orange
Christopher Martinez MD,Haiti,F,6083277830031,72,40.3,151,85,232,46,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Jeremiah Conner,Uruguay,F,2334745234979,51,23.6,126,94,180,42,1,1,0,0,0,0,1,0,0,0,0,20.0,Orange
Matthew Garza,Congo,M,7536453282227,33,34.3,120,83,147,41,1,0,1,0,0,0,0,0,0,1,0,1.0,Orange
David Gonzalez,United States of America,F,9208669523408,41,21.5,120,74,276,50,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Sara Joseph,Rwanda,M,1103697202265,54,29.8,155,91,155,31,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Eric Lopez,Cuba,F,3993942124019,65,33.3,157,91,172,39,2,0,1,0,0,1,0,0,0,1,0,22.5,Red
Heather Barnes,Kuwait,M,8477478758955,57,20.0,148,93,207,40,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Richard Taylor,Israel,M,5066208367913,47,31.6,135,95,189,45,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Shannon Jimenez,Congo,F,0867555695262,52,44.6,128,83,239,48,0,0,0,0,0,0,0,0,0,0,0,7.5,Orange
Mr. Michael Davila,United Kingdom,M,2745938711328,65,24.9,136,81,194,49,1,1,0,0,0,0,1,0,0,0,0,30.0,Red
Tracey Wells,Jamaica,M,1483628742344,52,45.5,175,87,228,68,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Ashley Jennings,Korea,M,6186465300245,65,26.6,138,91,274,63,3,1,0,1,0,1,0,0,0,1,0,27.5,Red
Matthew Mays,Japan,F,3437738944356,71,27.9,127,94,171,39,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Melanie Dalton,Guam,M,9691179616157,21,24.0,111,67,216,63,1,0,0,1,0,0,0,0,0,1,1,1.0,Orange
David Brown,Albania,M,5357303177690,19,19.9,106,66,208,30,1,0,1,0,0,0,1,0,0,1,0,15.0,Orange
Colin Strickland,Haiti,M,6165537188363,78,27.4,121,84,217,62,1,1,0,0,0,0,0,0,0,0,0,25.0,Red
Tina Dalton,Ecuador,M,7234514138802,74,38.7,130,82,239,31,1,1,0,0,0,0,0,0,0,0,0,30.0,Red
Steven Pham,Nicaragua,M,2806478441981,49,39.5,123,83,184,33,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kaylee Olsen,British Indian Ocean Territory (Chagos Archipelago),M,8939035131033,36,35.3,123,94,187,38,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Megan Hayes,Burundi,M,6404826934602,40,35.8,152,82,206,64,2,0,1,0,1,0,0,0,0,1,0,5.0,Orange
Matthew Watts,Cyprus,M,4638444004252,76,20.1,144,81,240,67,3,0,1,1,1,0,1,0,0,1,1,30.0,Red
Danielle Campbell,Zimbabwe,F,7872619440026,28,36.3,132,80,144,31,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Diane Carr,Saint Helena,M,7308631984984,32,16.9,107,85,202,67,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Parker King,French Southern Territories,M,1021547196345,55,29.1,142,87,253,32,1,0,1,0,0,0,0,0,0,0,0,25.0,Orange
Samuel Dixon,Togo,F,2222373369951,18,18.5,120,69,205,31,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Daniel Austin,French Guiana,F,2355781765951,59,41.6,120,95,255,39,0,0,0,0,0,0,1,0,0,0,0,27.5,Orange
Robert Reyes,Spain,F,8209653774456,32,27.2,184,77,208,67,2,1,1,0,0,0,1,0,0,0,0,25.0,Red
Lawrence West MD,Cote d'Ivoire,F,0405715825120,58,41.5,131,81,249,40,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Joseph Garcia,Belize,M,6644214979383,47,35.6,134,91,178,37,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Chris Moore,Cambodia,F,6127311535909,65,30.1,145,94,251,71,2,1,1,0,0,0,0,0,0,1,0,30.0,Red
Alicia Edwards DVM,Svalbard & Jan Mayen Islands,F,1576103522187,48,18.8,125,77,273,70,3,1,1,0,1,0,0,0,0,0,0,15.0,Orange
Thomas Gay,Burkina Faso,F,4514155879214,63,38.8,149,95,273,56,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Katherine Hinton,Denmark,F,9200166055123,88,22.0,122,93,222,32,0,0,0,0,0,0,0,0,1,0,0,30.0,Red
Gloria Taylor,Papua New Guinea,F,7706810417771,51,25.7,131,93,243,70,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Gary Owens,Uganda,F,4520079348651,41,39.1,125,80,226,32,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kristopher Gibson,Estonia,M,0117740696421,37,24.9,113,67,218,71,2,1,0,1,0,0,0,0,0,0,0,7.5,Orange
Mackenzie Rivera,Liberia,M,5348599466520,27,27.5,112,79,166,69,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Angela Wright,Micronesia,M,8966090023713,37,23.4,104,78,144,61,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Michael Weeks,Ireland,F,6663119987613,25,32.8,138,94,138,72,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Kimberly Saunders,Palau,M,8502938309559,39,31.7,149,93,153,42,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
Shannon Collins,Solomon Islands,M,5457962016368,56,43.0,140,94,158,73,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Edward Navarro,Malaysia,M,5858650265516,36,35.3,143,92,180,46,1,0,1,0,0,0,1,0,0,1,0,12.5,Orange
Renee Williams,Guinea,F,2056129401400,26,23.0,119,75,216,41,1,0,0,0,0,1,0,0,0,0,0,2.5,Green
Jessica Bowers,Jordan,M,9129282248595,35,22.1,117,78,185,70,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Lindsey Green,Bahrain,M,6499896468522,33,26.8,119,75,169,73,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Joy Olson,South Africa,F,8845145598348,39,24.6,125,81,150,36,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Victoria Cisneros,Guernsey,M,6360115300582,58,28.7,120,85,164,72,1,1,0,0,0,0,0,0,0,0,0,12.5,Green
